"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","In stock?","Stock","Regular price","Categories","Images","Position","Meta: _belorya_badge","Meta: _belorya_rating"
"simple","BEL-01","Reflet Lunaire","1","1","visible","Parure sculpturale à la finition miroir.","Inspirée des reliefs naturels façonnés par le temps, cette parure joue avec la lumière grâce à ses courbes organiques et sa finition miroir. Son design sculptural révèle un éclat intense à chaque mouvement, pour une allure moderne, élégante et intemporelle.","1","99","169","Parures","https://belorya.ma/assets/products/reflet-lunaire/1.jpeg, https://belorya.ma/assets/products/reflet-lunaire/2.jpeg, https://belorya.ma/assets/products/reflet-lunaire/3.jpeg","0","Best Seller","4.9"
"simple","BEL-02","Pétales d'Amour","1","1","visible","Parure florale, délicate et poétique.","Comme une fleur caressée par la lumière, Pétales d'Amour révèle toute la délicatesse de la féminité. Ses pétales aux nuances douces créent un jeu de lumière élégant et apportent une touche de poésie à chacune de vos tenues. Une création pensée pour traverser le temps avec grâce.","1","99","189","Parures","https://belorya.ma/assets/products/petales-damour/1.jpeg, https://belorya.ma/assets/products/petales-damour/2.jpeg, https://belorya.ma/assets/products/petales-damour/3.jpeg, https://belorya.ma/assets/products/petales-damour/4.jpeg, https://belorya.ma/assets/products/petales-damour/5.jpeg, https://belorya.ma/assets/products/petales-damour/6.jpeg, https://belorya.ma/assets/products/petales-damour/7.jpeg","1","Best Seller","4.9"
"simple","BEL-03","L'Héritière","1","0","visible","Une parure héritage, au raffinement contemporain.","Plus qu'un bijou, L'Héritière est un symbole. Elle évoque les traditions précieuses, les souvenirs transmis et la beauté qui traverse les générations, sublimée par une touche contemporaine.","1","99","259","Parures","https://belorya.ma/assets/products/lheritiere/1.jpeg, https://belorya.ma/assets/products/lheritiere/2.jpeg, https://belorya.ma/assets/products/lheritiere/3.jpeg, https://belorya.ma/assets/products/lheritiere/4.jpeg","2","Limited","4.8"
"simple","BEL-04","Étoile d'Or","1","0","visible","Boucles étoile de mer, éclat doré.","Née de l'inspiration des profondeurs marines, cette création célèbre la beauté rare de l'océan. Son étoile de mer, délicatement sculptée, incarne la grâce, la sérénité et la lumière des horizons infinis.","1","99","89","Boucles d'oreilles","https://belorya.ma/assets/products/etoile-dor/1.jpeg, https://belorya.ma/assets/products/etoile-dor/2.jpeg","3","New","4.8"
"simple","BEL-05","Cygne d'Aurore","1","1","visible","Collier cygne serti, raffiné et lumineux.","Entre lumière et délicatesse, Cygne d'Aurore capture l'instant où les premiers rayons rencontrent l'eau calme. Un bijou raffiné qui sublime chaque tenue.","1","99","129","Colliers","https://belorya.ma/assets/products/cygne-daurore/1.jpeg, https://belorya.ma/assets/products/cygne-daurore/2.jpeg, https://belorya.ma/assets/products/cygne-daurore/3.jpeg","4","Best Seller","4.8"
"simple","BEL-06","Lien d'Amour","1","0","visible","Parure cœur entrelacé, symbole d’un lien unique.","Un cœur aux lignes entrelacées, symbole d'un lien unique qui ne se défait jamais. Lien d'Amour est une création délicate, pour porter près de soi ce qui compte le plus.","1","99","199","Parures","https://belorya.ma/assets/products/lien-damour/1.jpeg, https://belorya.ma/assets/products/lien-damour/2.jpeg, https://belorya.ma/assets/products/lien-damour/3.jpeg, https://belorya.ma/assets/products/lien-damour/4.jpeg, https://belorya.ma/assets/products/lien-damour/5.jpeg","5","New","4.8"
"simple","BEL-07","L'Auréole","1","1","visible","Parure cerclée de brillance, douce et élégante.","L'Auréole célèbre la beauté des détails et l'éclat des instants précieux. Une création raffinée, où douceur et élégance ne font qu'un.","1","99","169","Parures","https://belorya.ma/assets/products/laureole/1.jpeg, https://belorya.ma/assets/products/laureole/2.jpeg, https://belorya.ma/assets/products/laureole/3.jpeg, https://belorya.ma/assets/products/laureole/4.jpeg","6","Best Seller","4.7"
"simple","BEL-08","L'Insaisissable","1","0","visible","Parure papillon, légère et lumineuse.","L'Insaisissable incarne la grâce de ce qui ne peut être retenu. Inspirée par la légèreté d'un papillon, cette création lumineuse accompagne chacun de vos mouvements avec finesse et raffinement.","1","99","169","Parures","https://belorya.ma/assets/products/linsaisissable/1.jpeg, https://belorya.ma/assets/products/linsaisissable/2.jpeg, https://belorya.ma/assets/products/linsaisissable/3.jpeg, https://belorya.ma/assets/products/linsaisissable/4.jpeg","7","New","4.7"
"simple","BEL-09","L'Incontournable","1","0","visible","Collier motifs nacrés, à porter chaque jour.","L'Incontournable est ce bijou que l'on choisit sans hésiter, jour après jour. Ses délicats motifs, disponibles en blanc nacré ou en rose tendre, captent la lumière avec douceur et apportent une touche de grâce à chaque instant.","1","99","149","Colliers","https://belorya.ma/assets/products/lincontournable/1.jpeg, https://belorya.ma/assets/products/lincontournable/2.jpeg, https://belorya.ma/assets/products/lincontournable/3.jpeg, https://belorya.ma/assets/products/lincontournable/4.jpeg, https://belorya.ma/assets/products/lincontournable/5.jpeg","8","","4.7"
"simple","BEL-10","L'Envolée","1","0","visible","Collier ajouré, léger comme un envol.","L'Envolée évoque la légèreté d'un papillon porté par le vent. Une création lumineuse pensée pour celles qui avancent avec confiance et liberté.","1","99","169","Colliers","https://belorya.ma/assets/products/lenvolee/1.jpeg, https://belorya.ma/assets/products/lenvolee/2.jpeg, https://belorya.ma/assets/products/lenvolee/3.jpeg","9","","4.7"
"simple","BEL-11","À Cœur Ouvert","1","0","visible","Collier lariat trois cœurs, sincère et raffiné.","Trois cœurs, une seule émotion. À Cœur Ouvert incarne la force des sentiments sincères et la beauté d'un amour assumé. Une création raffinée, à porter comme une déclaration de douceur.","1","99","169","Colliers","https://belorya.ma/assets/products/a-coeur-ouvert/1.jpeg, https://belorya.ma/assets/products/a-coeur-ouvert/2.jpeg, https://belorya.ma/assets/products/a-coeur-ouvert/3.jpeg","10","New","4.7"
"simple","BEL-12","Émeraude","1","0","visible","Parure aux pierres vertes, inspirée de la nature.","Comme une promenade au cœur d'un jardin baigné de lumière, Émeraude célèbre la douceur de la nature. Chaque pierre semble capturer un fragment de verdure, transformant la simplicité en une élégance intemporelle.","1","99","179","Parures","https://belorya.ma/assets/products/emeraude/1.jpeg, https://belorya.ma/assets/products/emeraude/2.jpeg","11","","4.6"
"simple","BEL-13","Rosalia","1","0","visible","Boucles papillon rosé, douces et printanières.","Comme un papillon au premier printemps, ce bijou célèbre la douceur, la liberté et la beauté des nouveaux départs. Une touche délicate à porter chaque jour.","1","99","89","Boucles d'oreilles","https://belorya.ma/assets/products/rosalia/1.jpeg","12","New","4.6"
"simple","BEL-14","Premier Regard","1","0","visible","Boucles soleil spiralé, à l’éclat doré.","Il suffit parfois d'un seul regard pour que tout bascule. Son cœur en spirale évoque le tourbillon des premières émotions, tandis que ses rayons dorés symbolisent la lumière d'une rencontre qui éclaire l'instant.","1","99","89","Boucles d'oreilles","https://belorya.ma/assets/products/premier-regard/1.jpeg","13","","4.7"
"simple","BEL-15","Éclora","1","0","visible","Boucles pétales ivoire et or.","La rencontre entre la délicatesse de l'ivoire et la noblesse de l'or. Une création intemporelle qui apporte une touche de lumière naturelle à toutes les silhouettes.","1","99","89","Boucles d'oreilles","https://belorya.ma/assets/products/eclora/1.jpeg","14","","4.6"
"simple","BEL-16","L'Océane","1","0","visible","Boucles coquillage doré, souffle marin.","Comme un coquillage délicatement déposé sur le sable, L'Océane capture la beauté de la mer et l'éclat du soleil. Une création pensée pour celles qui emportent un souffle d'océan partout avec elles.","1","99","69","Boucles d'oreilles","https://belorya.ma/assets/products/loceane/1.jpeg","15","","4.6"